Astro Boy: Tetsuwan Atom,Tezuka Productions,"Action,Adventure,Sci-Fi,Super Power,Shounen",25000,7.15,https://cdn.myanimelist.net/images/anime/1611/94026.jpg
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Gallop,"Comedy,Adult Cast,Detective,Gag Humor,Shounen",19000,7.89,https://cdn.myanimelist.net/images/anime/5/21196.jpg
Rockman.EXE Axess,Xebec,"Action,Adventure,Comedy,Sci-Fi,Strategy Game",18000,7.21,https://cdn.myanimelist.net/images/anime/1409/133686.jpg
Ginga Tetsudou Monogatari,Planet,"Action,Adventure,Drama,Sci-Fi,Space",13000,7.2,https://cdn.myanimelist.net/images/anime/6/39821.jpg
Futatsu no Spica,Group TAC,"Drama,Sci-Fi,Supernatural,School",11000,7.51,https://cdn.myanimelist.net/images/anime/12/73986.jpg
F-Zero: Falcon Densetsu,Ashi Productions,"Action,Adventure,Sci-Fi,Mecha,Racing",9600,6.51,https://cdn.myanimelist.net/images/anime/1569/95419.jpg
Sazae-san,Eiken,"Comedy,Slice of Life",8400,6.14,https://cdn.myanimelist.net/images/anime/1008/98996.jpg
Di Gi Charat Nyo,Madhouse,"Comedy,Fantasy,Sci-Fi",8300,7.24,https://cdn.myanimelist.net/images/anime/1846/133810.jpg
Nintama Rantarou,Ajia-do,"Comedy,Kids",7600,7.1,https://cdn.myanimelist.net/images/anime/6/74028.jpg
Chibi Maruko-chan (1995),Nippon Animation,"Comedy,School,Shoujo",6200,7.43,https://cdn.myanimelist.net/images/anime/1108/100604.jpg
Atashin'chi,Shin-Ei Animation,"Comedy,Slice of Life",5700,7.54,https://cdn.myanimelist.net/images/anime/8/50895.jpg
Saiko Robot Kombock,Xebec,"Sci-Fi,Mecha",5000,5.37,https://cdn.myanimelist.net/images/anime/4/20756.jpg
Sore Ike! Anpanman,TMS Entertainment,"Comedy,Fantasy,Kids",4400,7.12,https://cdn.myanimelist.net/images/anime/1902/111797.jpg
Domo-kun,dwarf,"Comedy,Slice of Life,Kids",2900,6.37,https://cdn.myanimelist.net/images/anime/3/18406.jpg
PopoloCrois,TMS Entertainment,"Adventure,Fantasy",2500,7.45,https://cdn.myanimelist.net/images/anime/8/27541.jpg
Papuwa,Nippon Animation,"Adventure,Comedy",2100,7.32,https://cdn.myanimelist.net/images/anime/11/3061.jpg
Ojarumaru,Gallop,"Adventure,Award Winning,Comedy,Fantasy,Kids",2100,6.4,https://cdn.myanimelist.net/images/anime/1839/132018.jpg
Croket!,OLM,"Action,Adventure,Comedy,Fantasy,Kids",1500,7.43,https://cdn.myanimelist.net/images/anime/10/88729.jpg
Ocha-ken: Chokotto Monogatari,Unknown,"Comedy,Kids",1400,6.29,https://cdn.myanimelist.net/images/anime/10/54633.jpg
Shima Shima Tora no Shimajirou,Studio Kikan,"Adventure,Comedy,Fantasy,Anthropomorphic,Kids",1200,6.93,https://cdn.myanimelist.net/images/anime/4/27049.jpg
Bouken Yuuki Pluster World,"Actas,Brain's Base","Action,Adventure,Sci-Fi",1200,6.37,https://cdn.myanimelist.net/images/anime/1928/133508.jpg
Oyako Club,Eiken,"Comedy,Slice of Life",1100,5.52,https://cdn.myanimelist.net/images/anime/8/34817.jpg
Porong Porong Pororo,Unknown,Kids,1000,5.9,https://cdn.myanimelist.net/images/anime/11/66611.jpg
Midnight Horror School,Unknown,Comedy,935,6.28,https://cdn.myanimelist.net/images/anime/13/87510.jpg
Wonder Bebil-kun,Radix,"Comedy,Fantasy",717,0.0,https://cdn.myanimelist.net/images/anime/13/83804.jpg
Omoikkiri Kagaku Adventure Sou Nanda!,OLM,"Comedy,Sci-Fi,Kids",673,0.0,https://cdn.myanimelist.net/images/anime/1907/134833.jpg
Nezha Chuanqi,Unknown,Adventure,638,6.77,https://cdn.myanimelist.net/images/anime/1396/101385.jpg
Mugen Senki Portriss,"Dongwoo A&E,Sunrise","Action,Sci-Fi,Mecha",625,6.1,https://cdn.myanimelist.net/images/anime/1627/94467.jpg
Hey Yo Yorang,Unknown,"Adventure,Comedy,Fantasy,Kids",541,0.0,https://cdn.myanimelist.net/images/anime/7/42931.jpg
Stray Sheep: Poe no Chicchana Daibouken,Robot Communications,"Comedy,Kids",491,6.07,https://cdn.myanimelist.net/images/anime/5/30501.jpg
Zettai Zetsumei Dangerous Jiisan,Unknown,"Comedy,Kids",474,5.51,https://cdn.myanimelist.net/images/anime/13/60257.jpg
Dango San Kyoudai Attoiuma Gekijou,Unknown,"Music,Kids",338,0.0,https://cdn.myanimelist.net/images/anime/8/61589.jpg
Mayutoro The Toons,Unknown,"Comedy,Fantasy,Kids",321,0.0,https://cdn.myanimelist.net/images/anime/5/28224.jpg
Happy Fuzi,Unknown,"Comedy,Fantasy,Kids",119,0.0,https://cdn.myanimelist.net/images/anime/1703/126065.jpg
Geomjeong Gomusin,Unknown,Kids,109,0.0,https://cdn.myanimelist.net/images/anime/1185/130361.jpg
Nendo no Tatakai,Unknown,"Action,Comedy",3300,3.37,https://cdn.myanimelist.net/images/anime/3/33273.jpg
Nendo no Tatakai 2,Unknown,"Action,Comedy",2700,3.25,https://cdn.myanimelist.net/images/anime/2/33245.jpg
Sugai-kun to Kazoku Ishi,DLE,Comedy,229,0.0,https://cdn.myanimelist.net/images/anime/11/85085.jpg
Sou Ashi Sensha no Yuuutsu,Unknown,"Action,Mecha,Military",145,0.0,https://cdn.myanimelist.net/images/anime/1818/132605.jpg
Hunter x Hunter: Greed Island Final,Nippon Animation,"Action,Adventure,Fantasy,Shounen",146000,8.26,https://cdn.myanimelist.net/images/anime/1/139.jpg
Wolf's Rain OVA,Bones,"Adventure,Drama,Sci-Fi,Supernatural,Psychological",69000,8.01,https://cdn.myanimelist.net/images/anime/1091/134883.jpg
Sexfriend,Shinkuukan,Hentai,19000,6.68,https://cdn.myanimelist.net/images/anime/11/41591.jpg
Interlude,Toei Animation,"Adventure,Horror,Mystery",15000,6.49,https://cdn.myanimelist.net/images/anime/2/75602.jpg
Phantom The Animation,Arcs Create,"Action,Drama,Organized Crime",15000,6.47,https://cdn.myanimelist.net/images/anime/12/75176.jpg
Kidou Senshi Gundam SEED MSV Astray,Sunrise,"Sci-Fi,Mecha,Military,Space",13000,6.42,https://cdn.myanimelist.net/images/anime/1/864.jpg
Ou Dorobou Jing in Seventh Heaven,Studio Deen,"Adventure,Comedy,Fantasy,Psychological,Shounen",13000,7.25,https://cdn.myanimelist.net/images/anime/1325/94741.jpg
Kage (OVA),APPP,"Action,Hentai,Gore,Historical,Martial Arts,Samurai",7000,6.28,https://cdn.myanimelist.net/images/anime/1791/113188.jpg
Angelique,Yumeta Company,"Drama,Fantasy,Romance,Sci-Fi,Reverse Harem,Shoujo",6800,6.54,https://cdn.myanimelist.net/images/anime/1479/94792.jpg
Animation Seisaku Shinkou Kuromi-chan 2,Yumeta Company,"Comedy,Drama,Otaku Culture,Parody",6600,7.07,https://cdn.myanimelist.net/images/anime/1/1798.jpg
In no Houteishiki,Piko Studio,"Hentai,School",5700,6.27,https://cdn.myanimelist.net/images/anime/3/78888.jpg
Hitozuma Cosplay Kissa,Aiko,Hentai,5500,6.0,https://cdn.myanimelist.net/images/anime/1127/103998.jpg
Seifuku Shojo The Animation,ORADA COMPANY,Hentai,5200,6.21,https://cdn.myanimelist.net/images/anime/1314/116243.jpg
V.G.Neo The Animation,Studio Jam,"Action,Hentai,Martial Arts",4000,5.63,https://cdn.myanimelist.net/images/anime/2/22138.jpg
Choubatsu Yobikou,Y.O.U.C,"Hentai,School",3700,5.9,https://cdn.myanimelist.net/images/anime/1971/103900.jpg
Tokyo Daigaku Monogatari,Shinkuukan,"Comedy,Drama,Romance,Ecchi,School",3700,4.83,https://cdn.myanimelist.net/images/anime/1762/112262.jpg
Hijikata Toshizou: Shiro no Kiseki,Studio 4°C,"Action,Drama,Historical,Samurai",3400,6.1,https://cdn.myanimelist.net/images/anime/1/2252.jpg
Hatsukoi,Blue Note,Hentai,2900,5.74,https://cdn.myanimelist.net/images/anime/3/10402.jpg
Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,Unknown,"Action,Adventure,Drama,Fantasy,Martial Arts,Super Power,Shounen",2400,5.83,https://cdn.myanimelist.net/images/anime/10/85750.jpg
Mikagura Tanteidan,Unknown,Hentai,2400,5.85,https://cdn.myanimelist.net/images/anime/1036/116041.jpg
Yukiyo Ichiya Monogatari,Schoolzone,"Hentai,Historical",2200,5.64,https://cdn.myanimelist.net/images/anime/1794/116509.jpg
Kawarazaki-ke no Ichizoku 2,Arms,Hentai,2200,5.51,https://cdn.myanimelist.net/images/anime/1676/115913.jpg
